#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
20,"how to use keyword planner",3,,,150,https://backlinko.com/google-keyword-planner,11,3740000,"2017-10-05 20:26:02",45,8.00,
21,"google keywords planner",5,,,900,https://backlinko.com/google-keyword-planner,9,5340000,"2017-10-29 00:47:55",58,1.90,
22,"seo keyword planner",4,,,100,https://backlinko.com/google-keyword-planner,9,566000,"2017-11-01 00:24:31",91,8.00,
23,"planner google",5,,,100,https://backlinko.com/google-keyword-planner,8,42000000,"2017-10-11 13:18:33",58,,
24,"google word planner",5,,,100,https://backlinko.com/google-keyword-planner,8,4790000,"2017-10-13 22:12:13",65,,
25,"key word planner",5,6,"2017-10-13 11:46:51",700,https://backlinko.com/google-keyword-planner,8,11700000,"2017-10-27 06:21:18",57,,
26,"keyword planner home",6,,,150,https://backlinko.com/google-keyword-planner,8,6710000,"2017-10-08 21:09:51",57,,
27,"google kewords tool",10,11,"2017-09-27 09:37:18",300,https://backlinko.com/google-keyword-planner,7,140000000,"2017-10-12 16:25:26",71,2.00,
28,"google keywords tools",9,,,250,https://backlinko.com/google-keyword-planner,7,148000000,"2017-10-02 16:06:59",71,2.00,
29,"keyword planner for seo",1,,,20,https://backlinko.com/google-keyword-planner,7,2480000,"2017-10-28 20:09:09",79,,
30,"google keywork planner",5,,,90,https://backlinko.com/google-keyword-planner,7,5460000,"2017-11-03 11:09:39",58,,
31,"how to use google keyword tool",6,,,150,https://backlinko.com/google-keyword-planner,6,5910000,"2017-10-02 15:52:01",39,3.50,
32,"how to use google adwords keyword planner",5,,,90,https://backlinko.com/google-keyword-planner,6,3720000,"2017-09-20 02:18:09",37,8.00,
33,"google key words",8,,,700,https://backlinko.com/google-keyword-planner,6,253000000,"2017-10-26 04:59:05",66,1.80,
34,"kw planner",5,,,90,https://backlinko.com/google-keyword-planner,6,554000,"2017-10-29 01:56:11",53,18.00,
35,"google key words tools",10,9,"2017-09-29 01:27:14",300,https://backlinko.com/google-keyword-planner,6,170000000,"2017-10-13 18:58:43",71,2.00,
36,"adword keyword tool",10,9,"2017-10-13 08:18:34",700,https://backlinko.com/google-keyword-planner,6,135000,"2017-10-27 01:10:50",45,4.50,
37,"keywood planner",5,,,90,https://backlinko.com/google-keyword-planner,6,11000000,"2017-10-29 10:53:13",65,,
38,"google keyword search tool",10,11,"2017-10-18 15:54:28",500,https://backlinko.com/google-keyword-planner,6,130000000,"2017-11-01 05:57:49",83,4.00,
39,"what is google keyword planner",6,,,100,https://backlinko.com/google-keyword-planner,6,5560000,"2017-10-15 16:15:58",64,,
40,"word planner",6,,,100,https://backlinko.com/google-keyword-planner,6,51900000,"2017-09-30 08:02:10",62,6.00,
41,"google's keyword planner",7,,,150,https://backlinko.com/google-keyword-planner,6,238000,"2017-10-08 00:26:56",64,,
42,"google adword keyword planner",6,,,500,https://backlinko.com/google-keyword-planner,6,518000,"2017-10-22 18:15:42",48,2.50,
43,"google adword keyword planner tool",6,,,100,https://backlinko.com/google-keyword-planner,6,202000,"2017-10-31 19:05:18",60,3.50,
44,"adwords keyword planner tool",6,,,100,https://backlinko.com/google-keyword-planner,6,485000,"2017-11-04 04:40:59",54,2.50,
45,"using google keyword planner",3,,,50,https://backlinko.com/google-keyword-planner,5,1450000,"2017-11-04 14:53:44",39,,
